Polymer,Source,Day2,Batch,Color,N,Na23,Mg25,Al27,Si29,K39,Ca44,Ti47,Mn55,Fe57,Ni60,Cu63,As75,Sr88,Nb93,Sn118,Sb121,Ba138,Pb208
Can,01,1,A,Black,1,1.6645004169328765,6.8700793714920625,16.292821427939028,142.88715880677915,2.6529706105175737,558.5848578115257,136.02580795087331,0.20735923773788942,26.320952795543352,0.09861200054228295,5.065087436684824,0.5576223866052219,0.25463100854588644,0.1416068317496676,0.1109527369538195,24.916664087626,0.7818748111356978,0.07861626528410838
Can,01,1,A,Black,2,1.5831096666903084,8.189924552135775,10.717705676675102,156.51170759125228,1.529194377839425,645.4837437669521,153.3578057690176,0.20815933185769242,26.37568714369098,0.09414783851536447,5.849865243563074,0.5183698348159295,0.18299497877523793,0.15886732072794063,0.051559933147912795,3.7003417743745706,1.1428042815274537,0.026342351937782157
Can,01,1,A,Black,3,2.438355567191013,7.376537278629217,16.499295949954192,178.62259057672435,2.1744690841512657,711.2841730080214,180.52457911629602,0.3149114020735858,40.76424395301005,0.10936648373464043,6.4492226336356335,0.5696391493101565,0.3180688942068762,0.18228533435473357,0.05894282010520008,2.4573116626542064,1.4259150359602855,0.022377826230287074
Can,01,1,A,Black,4,1.6406539331484429,6.9931308063071835,11.409615729383042,164.8309970065176,1.3551377876188344,766.0584406846859,183.94329095377572,0.3414549848509381,41.88172591579843,0.11359684564531335,6.587098506116329,0.6289346764543933,0.2505883353980879,0.18741129050386152,0.05936833458325848,2.080845413668738,1.0119441274148273,0.022376447356385727
Can,01,2,A,Black,1,1.461757648366529,9.565735519602175,12.302757451014394,113.51857496011385,1.8722781689490469,580.7109769145934,160.44775371215783,0.16715219046033736,32.37903073885622,0.10597576965574801,2.5451405610842284,0.08188222493841267,0.158657382177295,0.1083010642189618,0.04419860962775258,0.10021818936760857,0.6009784503095581,0.012457163880507749
Can,01,2,A,Black,2,2.1043960015408802,6.353698102943288,13.62250303071957,106.75347915400951,1.848436248079432,592.0565094616794,162.42411295117597,0.12770025463759127,25.779586519317633,0.10026876325037369,2.696038632087915,0.07398762275160048,0.1560512156086148,0.11400486633113226,0.05240622934071979,0.07983861080883878,0.8247142880146695,0.013676960948510761
Can,01,2,A,Black,3,1.7691540255715619,6.547231716424368,10.207803937523662,102.31230945907558,1.6441720286344712,566.268570963129,158.4984245773339,0.1401097215426831,33.96216142020305,0.10144276433854435,2.646812375095547,0.0653410797065442,0.23049858918044824,0.11805759912669683,0.044797684380850494,0.07489502144635696,0.9677304737824471,0.014956013672410359
Can,01,2,A,Black,4,1.3574727779967972,7.364251219835237,10.447887406404625,105.16675243517804,1.686905470375846,584.1092246647843,150.1831199946986,0.12484626266449546,25.24100804894441,0.09800813224533488,2.655181532034096,0.06448448355999661,0.13607274985870071,0.10974673085922029,0.04851823746892703,0.07270525175665554,0.8403398746416079,0.013802529795557763
Can,02,1,A,Black,1,1.3389413975726683,4.216058991430195,4.6912867072735285,198.81382409407024,1.7485401171456738,285.99979301090326,1.5472210770174606,0.21204238941331138,4.617676305666038,0.06942028681233214,0.45023170443051813,1.4538050440718384,0.16483789107352084,0.03700539551196393,0.5766545426958115,13.248240996428896,0.646271438940586,0.3246941895091398
Can,02,1,A,Black,2,0.754703153822268,3.715639125681662,5.192070707288036,223.80829574926068,2.036688118081184,340.45482072908703,0.4800925909169563,0.1463890167456132,4.042865550048967,0.066584339481246,0.06139318506243376,0.7319820681097348,0.12512677403690253,0.0017631376347989104,0.21340003563607682,1.91038731618352,0.3481222018631912,0.04932893150059297
